id,title,description,photos,ingredients,instructions,dish_id,portionsAmount,category_id
arab,Кофе Араб,,,,,espresso,1,black
damian,Кофе Дамиана,,,,,highball_glass,1,black
black,Черный кофе,,,,,espresso,4,black
black_double,Черный кофе двойной,,,,,espresso,4,black
fon_libih,Рецепт фон-Либиха,,,,,americano,4,black
black_home,Черный домашний кофе,,,,,espresso,1,black
black_bird,Кофе Черный дрозд,,,,,cappucino,2,black
black_regular,Черный обычный кофе,,,,,espresso,2,black
mokko_arabic,Мокко по-арабски,,,,,espresso,4,black
secret_old_mavr,Секрет старого мавра,,,,,espresso,1,black
from_termos,Кофе из термоса,,,,,espresso,5,black
